Community,P/T,HDD,WEATHER
Norman's Bay,NL,6106,MARY'S HARBOUR
Oba,ON,6217,NAGAGAMI
Obedjiwan,QC,6296,CHAMOUCHOUANE
Ogoki,ON,6805,LANSDOWNE HOUSE
Old Crow,YT,9247,OLD CROW
Old Masset,BC,3571,ROSE SPIT
Pangnirtung,NU,9299,PANGNIRTUNG
Paulatuk,NT,9642,PAULATUK
Peawanuck,ON,7794,PEAWANUCK
Pond Inlet,NU,11304,POND INLET
Port Clements,BC,3571,ROSE SPIT
Port Hope Simpson,NL,6106,MARY'S HARBOUR
Postville,NL,6296,CARTWRIGHT
Puvirnituq,QC,8283,INUKJUAK
Qikiqtarjuaq,NU,10088,QIKIQTARJUAQ CLIMATE
Quaqtaq,QC,9483,IQALUIT
Ramea,NL,4629,BURGEO
Rankin Inlet,NU,9999,RANKIN INLET
Resolute,NU,11759,RESOLUTE BAY
Rigolet,NL,6296,CARTWRIGHT
Sachs Harbour,NT,10671,SACHS HARBOUR CLIMATE
Salluit,QC,9258,CAPE DORSET CLIMATE
Sambaa K'e,NT,7285,FORT PROVIDENCE
Sanikiluaq,NU,7577,KUUJJUARAPIK
Shamattawa,MB,7728,GILLAM
St Lewis,NL,6106,MARY'S HARBOUR
St. Brendan's,NL,4649,BONAVISTA
Sultan,ON,5826,TIMMINS
Summer Beaver,ON,6805,LANSDOWNE HOUSE
Tadoule Lake,MB,8407,TADOULE LAKE
Taloyoak,NU,11338,TALOYOAK
Tasiujaq,QC,8022,KUUJJUAQ
Telegraph Creek,BC,6732,DEASE LAKE
Tlatlasikwala,BC,3379,SARTINE ISLAND
Toad River Area,BC,6572,FORT NELSON
Tsay Keh Dene,BC,6572,FORT NELSON
Tsiigehtchic,NT,8716,LITTLE CHICAGO
Tuktoyaktuk,NT,9665,TUKTOYAKTUK
Tulita,NT,8231,NORMAN WELLS
Uchucklesaht,BC,2942,SHERINGHAM POINT
Ulukhaktok,NT,10339,HOLMAN
Umiujaq,QC,7577,KUUJJUARAPIK
Watson Lake,YK,7199,WATSON LAKE
Webequie,ON,6805,LANSDOWNE HOUSE
Wekweètì,NT,8513,LOWER CARP LAKE
Whale Cove,NU,9999,RANKIN INLET
Whapmagoostui,QC,7577,KUUJJUARAPIK
Whati,NT,8111,LAC LA MARTRE
Whitesand,ON,6462,ARMSTRONG
Wrigley,NT,8602,DÉLINE
Xeni Gwet'in First Nation,BC,5572,PUNTZI MOUNTAIN
